,Time (d),Biogas_meas_GA (m3/d),Biogas_pred_GA (m3/d)
511,497.875,13339.07529,13389.455
512,497.89583330000005,13336.37149,13387.211
513,497.9166667,13334.00094,13385.538
514,497.9375,13331.79029,13384.164
515,497.95833330000005,13329.87681,13382.783
516,497.9791667,13328.32377,13381.68
517,498.0,13326.99751,13381.428
518,498.02083330000005,13326.13782,13382.723
519,498.0416667,13324.27567,13386.476
520,498.0625,13324.82105,13391.262
521,498.08333330000005,13324.38024,13399.045
522,498.1041667,13323.78955,13405.585
523,498.125,13323.45264,13410.254
524,498.14583330000005,13323.45982,13413.6455
525,498.1666667,13323.15634,13416.928
526,498.1875,13322.88792,13419.989
527,498.20833330000005,13322.64285,13422.842
528,498.2291667,13322.38194,13425.463
529,498.25,13322.31451,13428.106
530,498.27083330000005,13322.20935,13430.96
531,498.2916667,13321.7121,13433.537
532,498.3125,13321.12328,13434.857
533,498.33333330000005,13320.59832,13434.258
534,498.3541667,13320.02458,13429.909
535,498.375,13319.61318,13419.759
536,498.39583330000005,13319.17081,13406.076
537,498.4166667,13318.84977,13392.711
538,498.4375,13319.00802,13383.43
539,498.45833330000005,13318.76264,13380.762
540,498.4791667,13318.97704,13383.111
541,498.5,13319.3948,13388.748
542,498.52083330000005,13319.68773,13394.512
543,498.5416667,13320.93091,13398.055
544,498.5625,13320.9895,13399.97
545,498.58333330000005,13322.62548,13399.227
546,498.6041667,13323.624,13399.38
547,498.625,13325.00441,13399.892
548,498.64583330000005,13326.31879,13401.784
549,498.6666667,13328.50973,13404.127
550,498.6875,13331.3743,13406.688
551,498.70833330000005,13333.44424,13408.325
552,498.7291667,13335.92612,13406.987
553,498.75,13338.29484,13403.155
554,498.77083330000005,13341.18299,13398.499
555,498.7916667,13344.66125,13396.965
556,498.8125,13347.94702,13399.09
557,498.83333330000005,13352.12034,13402.391
558,498.8541667,13356.36116,13406.946
559,498.875,13360.26863,13412.601
560,498.89583330000005,13364.14669,13419.1455
561,498.9166667,13370.80373,13426.323
562,498.9375,13375.18596,13435.247
563,498.95833330000005,13380.88772,13440.687
564,498.9791667,13386.61329,13445.757
565,499.0,13392.38985,13450.323
566,499.02083330000005,13398.05285,13455.4
567,499.0416667,13404.28521,13461.552
568,499.0625,13411.78577,13469.476
569,499.08333330000005,13419.15485,13479.552
570,499.1041667,13425.31926,13490.205
571,499.125,13431.57034,13500.128
572,499.14583330000005,13438.27204,13510.023
573,499.1666667,13444.94926,13520.021
574,499.1875,13452.26909,13529.665
575,499.20833330000005,13458.33221,13539.415
576,499.2291667,13464.644719999998,13547.746
577,499.25,13470.66005,13555.987
578,499.27083330000005,13476.9371,13563.962
579,499.2916667,13482.44738,13572.3545
580,499.3125,13488.601,13579.641
581,499.33333330000005,13494.16104,13585.715
582,499.3541667,13499.844469999998,13587.639
583,499.375,13505.5471,13584.229
584,499.39583330000005,13511.50296,13577.284
585,499.4166667,13517.18614,13570.794
586,499.4375,13522.9245,13567.7295
587,499.45833330000005,13528.902080000002,13570.219
588,499.4791667,13534.4265,13577.423
589,499.5,13540.88712,13586.475
590,499.52083330000005,13547.26006,13596.139
591,499.5416667,13552.73729,13604.001
592,499.5625,13559.41512,13609.609
593,499.58333330000005,13565.25071,13615.883
594,499.6041667,13571.35818,13621.997
595,499.625,13577.75539,13629.14
596,499.64583330000005,13584.30671,13636.872
597,499.6666667,13590.88949,13644.397
598,499.6875,13598.01557,13651.089
599,499.70833330000005,13604.31129,13657.077
600,499.7291667,13611.07045,13660.988
601,499.75,13617.48519,13663.784
602,499.77083330000005,13624.28345,13666.221
603,499.7916667,13631.37417,13670.982
604,499.8125,13638.42106,13678.103
605,499.83333330000005,13645.52131,13685.983
606,499.8541667,13652.79669,13694.089
607,499.875,13660.00553,13702.792
608,499.89583330000005,13668.208680000002,13711.462
609,499.9166667,13676.64885,13720.117
610,499.9375,13684.09749,13728.1875
611,499.95833330000005,13691.64827,13735.35
612,499.9791667,13700.23225,13743.035
613,500.0,13708.18834,13752.148
614,500.02083330000005,13715.16406,13761.064
615,500.0416667,13724.3424,13769.206
616,500.0625,13732.43695,13779.099
617,500.08333330000005,13740.21123,13787.994
618,500.1041667,13748.60856,13796.823
619,500.125,13756.69078,13806.72
620,500.14583330000005,13765.12937,13816.799
621,500.1666667,13772.73124,13827.261
622,500.1875,13779.66593,13836.85
623,500.20833330000005,13787.25441,13845.644
624,500.2291667,13793.99596,13854.754
625,500.25,13800.31799,13862.939
626,500.27083330000005,13806.48859,13870.716
627,500.2916667,13812.51712,13878.524
628,500.3125,13818.28306,13886.309
629,500.33333330000005,13823.61889,13893.518
630,500.3541667,13828.72237,13898.084
631,500.375,13834.012880000002,13898.174
632,500.39583330000005,13839.45766,13895.45
633,500.4166667,13844.59709,13892.886
634,500.4375,13849.540309999997,13892.701
635,500.45833330000005,13854.47775,13896.201
636,500.4791667,13859.26523,13902.509
637,500.5,13864.20408,13909.702
638,500.52083330000005,13869.0696,13916.842
639,500.5416667,13873.77093,13923.339
640,500.5625,13878.56261,13929.407
641,500.58333330000005,13883.45812,13935.792
642,500.6041667,13888.975530000003,13942.662
643,500.625,13894.24787,13950.284
644,500.64583330000005,13899.50339,13957.541
645,500.6666667,13904.78115,13964.269
646,500.6875,13909.87285,13970.383
647,500.70833330000005,13915.03796,13975.712
648,500.7291667,13920.79496,13980.094
649,500.75,13926.55662,13983.495
650,500.77083330000005,13932.80606,13986.443
651,500.7916667,13939.17363,13991.12
652,500.8125,13945.60685,13997.446
653,500.83333330000005,13952.45676,14004.428
654,500.8541667,13959.120169999998,14011.748
655,500.875,13967.10646,14018.853
656,500.89583330000005,13973.87329,14026.773
657,500.9166667,13981.69161,14032.945
658,500.9375,13989.22085,14039.624
659,500.95833330000005,13997.21468,14046.432
660,500.9791667,14005.29904,14054.263
661,501.0,14013.9971,14062.616
662,501.02083330000005,14022.5629,14071.871
663,501.0416667,14031.41084,14081.465
664,501.0625,14040.44326,14091.4795
665,501.08333330000005,14048.9278,14101.443
666,501.1041667,14056.87437,14110.71
667,501.125,14065.19447,14119.504
668,501.14583330000005,14073.59003,14128.634
669,501.1666667,14081.77229,14137.727
670,501.1875,14089.68516,14146.553
671,501.20833330000005,14097.28833,14155.171
672,501.2291667,14104.55281,14163.585
673,501.25,14111.47064,14171.726
674,501.27083330000005,14118.07184,14179.442
675,501.2916667,14124.48194,14186.652
676,501.3125,14130.8957,14193.534
677,501.33333330000005,14137.33985,14200.311
678,501.3541667,14143.61849,14205.707
679,501.375,14149.57711,14207.952
680,501.39583330000005,14155.300330000002,14208.075
681,501.4166667,14160.91009,14208.183
682,501.4375,14166.39834,14209.737
683,501.45833330000005,14171.91587,14213.365
684,501.4791667,14177.29893,14218.818
685,501.5,14183.02487,14225.153
686,501.52083330000005,14188.63958,14232.055
687,501.5416667,14194.4709,14238.7705
688,501.5625,14200.47578,14245.574
689,501.58333330000005,14206.63146,14252.541
690,501.6041667,14212.73626,14259.442
691,501.625,14218.7963,14265.779
692,501.64583330000005,14224.66061,14271.538
693,501.6666667,14230.40486,14276.753
694,501.6875,14236.154169999998,14281.503
695,501.70833330000005,14242.08704,14285.767
696,501.7291667,14247.958530000002,14289.321
697,501.75,14253.88463,14291.596
698,501.77083330000005,14259.99737,14293.533
699,501.7916667,14266.51048,14296.633
700,501.8125,14272.94322,14301.596
701,501.83333330000005,14279.27199,14307.6875
702,501.8541667,14285.718,14313.892
703,501.875,14291.92195,14319.532
704,501.89583330000005,14298.35468,14324.326
705,501.9166667,14304.64036,14329.1875
