,Time (d),Biogas_meas_Pearson_NPC (m3/d),Biogas_pred_Pearson_NPC (m3/d)
693,508.90625,14973.08614,14405.464
694,508.9375,14978.77097,14406.266
695,508.96875,14984.31651,14404.813
696,509.0,14991.06839,14403.616
697,509.03125,14997.70863,14404.685
698,509.0625,15005.07431,14407.087
699,509.09375,15012.8483,14411.266
700,509.125,15021.54052,14418.586
701,509.15625,15029.48068,14428.338
702,509.1875,15036.7647,14436.027
703,509.21875,15044.08452,14441.676
704,509.25,15050.85459,14446.702
705,509.28125,15057.26211,14450.059
706,509.3125,15063.2865,14452.136
707,509.34375,15069.45682,14452.643
708,509.375,15075.80155,14447.466
709,509.40625,15082.63479,14435.95
710,509.4375,15089.24971,14429.89
711,509.46875,15094.94456,14430.692
712,509.5,15100.47167,14434.479
713,509.53125,15106.16793,14439.195
714,509.5625,15111.7644,14443.979
715,509.59375,15116.96215,14445.998
716,509.625,15122.25291,14445.174
717,509.65625,15127.84781,14445.064
718,509.6875,15133.35259,14446.746
719,509.71875,15138.38764,14446.168
720,509.75,15143.12724,14440.013
721,509.78125,15147.89233,14430.662
722,509.8125,15152.89829,14424.914
723,509.84375,15158.14631,14423.911
724,509.875,15163.26976,14424.661
725,509.90625,15167.59068,14424.259
726,509.9375,15171.63223,14421.799
727,509.96875,15176.07441,14420.951
728,510.0,15180.72301,14423.885
729,510.03125,15184.91643,14428.638
730,510.0625,15188.51049,14431.992
731,510.09375,15191.710619999998,14433.692
732,510.125,15194.605930000002,14435.2705
733,510.15625,15197.19352,14437.583
734,510.1875,15197.84226,14440.194
735,510.21875,15198.64939,14442.975
736,510.25,15198.8679,14446.597
737,510.28125,15197.79362,14451.12
738,510.3125,15195.42198,14454.5
739,510.34375,15192.95848,14457.396
740,510.375,15189.8135,14454.429
741,510.40625,15185.85254,14439.166
742,510.4375,15180.58295,14423.758
743,510.46875,15174.81349,14415.725
744,510.5,15169.15628,14413.866
745,510.53125,15162.40221,14414.828
746,510.5625,15155.3092,14415.547
747,510.59375,15148.27366,14416.299
748,510.625,15140.98504,14418.532
749,510.65625,15133.618369999998,14422.358
750,510.6875,15126.36359,14426.768
751,510.71875,15118.69094,14429.968
752,510.75,15110.94845,14430.3125
753,510.78125,15103.3501,14427.433
754,510.8125,15096.30446,14423.038
755,510.84375,15090.31751,14421.217
756,510.875,15085.34259,14424.83
